City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,byron bay,-28.65,153.6167,22.06,95,100,1.77,AU,1711414247
288,weno,7.4515,151.8468,26.97,94,100,3.6,FM,1711414247
289,shtip,41.7458,22.1958,4.35,65,11,1.13,MK,1711413998
290,shendi,16.6915,33.4341,21.36,17,0,6.09,SD,1711414249
291,pallasovka,50.05,46.8833,1.89,90,100,5.05,RU,1711414249
292,fort bragg,35.139,-79.006,13.85,52,0,2.57,US,1711414036
293,nadym,65.5333,72.5167,-29.23,100,63,3.05,RU,1711414251
294,lompoc,34.6391,-120.4579,16.5,62,75,7.72,US,1711414252
295,mananjary,-21.2167,48.3333,22.62,80,100,3.54,MG,1711414252
296,touros,-5.1989,-35.4608,27.49,78,100,3.83,BR,1711414253
297,kodiak,57.79,-152.4072,4.73,87,100,3.09,US,1711414254
298,queenstown,-31.8976,26.8753,19.01,58,100,1.35,ZA,1711414254
299,aswan,24.0934,32.907,16.61,27,0,2.57,EG,1711414255
300,manismata,-2.4667,111.0333,26.24,93,63,0.8,ID,1711414256
301,pisco,-13.7,-76.2167,23.03,78,0,7.72,PE,1711414257
302,catumbela,-12.4314,13.5472,26.54,90,85,1.66,AO,1711414257
303,namibe,-15.1961,12.1522,25.45,73,99,3.18,AO,1711414258
304,chibougamau,49.9168,-74.3659,-4.21,42,75,3.6,CA,1711414040
305,salinopolis,-0.6136,-47.3561,25.84,89,100,1.85,BR,1711414259
306,knyaze-volkonskoye,48.4642,135.4567,0.19,80,6,1.29,RU,1711414260
307,puerto madero,14.7208,-92.4215,27.56,72,100,3.37,MX,1711414261
308,yeppoon,-23.1333,150.7333,26.88,85,100,2.5,AU,1711414261
309,tolanaro,-25.0319,46.9987,23.04,78,40,6.17,MG,1711414262
310,ciudad lazaro cardenas,17.9583,-102.2,22.9,68,100,4.13,MX,1711414234
311,maysville,38.6412,-83.7444,19.88,20,0,4.63,US,1711414264
312,abilene,32.4487,-99.7331,15.12,40,0,6.69,US,1711413967
313,unai,-16.3575,-46.9061,23.19,81,86,0.83,BR,1711414072
314,gemena,3.25,19.7667,23.88,82,69,0.74,CD,1711414267
315,kaitong,44.8135,123.15,5.95,22,6,1.59,CN,1711414268
316,shimoda,34.6667,138.95,11.2,95,100,8.13,JP,1711414268
317,benguela,-12.5763,13.4055,26.7,88,90,1.57,AO,1711414269
318,udachny,66.4167,112.4,-24.49,96,100,1.9,RU,1711414270
319,hilo,19.7297,-155.09,26.25,77,40,4.63,US,1711414271
320,kralendijk,12.15,-68.2667,26.99,83,40,5.14,BQ,1711414273
321,alexandria,31.2156,29.9553,12.3,52,0,4.13,EG,1711414273
322,rockport,28.0206,-97.0544,27.01,54,0,4.12,US,1711414274
323,timbuktu,16.7735,-3.0074,27.59,25,66,4.72,ML,1711414275
324,ingeniero jacobacci,-41.3427,-69.5448,20.72,36,100,3.47,AR,1711414156
325,yanam,16.7333,82.2167,22.74,83,0,1.09,IN,1711414279
326,santana,-0.0583,-51.1817,28.1,89,40,1.03,BR,1711414280
327,gulf shores,30.246,-87.7008,21.14,74,100,9.77,US,1711414281
328,lubang,13.8584,120.124,26.88,81,11,8.28,PH,1711414282
329,aasiaat,68.7098,-52.8699,-2.82,66,61,6.42,GL,1711414283
330,ad douiem,14.0012,32.3116,25.04,14,21,7.53,SD,1711414283
331,yoloten,37.2989,62.3597,23.07,51,100,11.22,TM,1711414284
332,lorengau,-2.0226,147.2712,29.16,74,93,2.08,PG,1711414285
333,dunedin,-45.8742,170.5036,14.33,75,100,1.34,NZ,1711414222
334,midvagur,62.0511,-7.1939,-0.54,93,20,2.06,FO,1711414287
335,belalcazar,2.6547,-75.9928,16.67,95,100,1.72,CO,1711414288
336,jaru,-10.4389,-62.4664,23.2,99,100,1.34,BR,1711414282
337,masterton,-40.9597,175.6575,22.28,64,97,7.23,NZ,1711414159
338,uturoa,-16.7333,-151.4333,28.79,75,3,5.73,PF,1711414290
339,al jawf,29.5,38.75,11.78,47,0,2.52,SA,1711414291
340,port alfred,-33.5906,26.891,18.99,90,100,5.24,ZA,1711414292
341,zhalantun,48.0,122.7167,4.65,39,7,0.33,CN,1711414292
342,tazovsky,67.4667,78.7,-34.82,99,13,2.2,RU,1711414293
343,olonets,60.9847,32.9698,-1.5,98,98,1.47,RU,1711414294
344,musan-up,42.2261,129.2078,5.39,39,100,1.1,KP,1711414294
345,nuku'alofa,-21.1333,-175.2,29.19,79,75,2.57,TO,1711414295
346,novyy turtkul',41.55,61.0167,19.95,37,100,7.13,UZ,1711414296
347,fort wellington,6.4,-57.6,26.56,76,89,4.92,GY,1711414297
348,mili,6.0815,171.735,28.22,74,34,8.42,MH,1711414297
349,savanna-la-mar,18.219,-78.1332,27.97,85,50,2.08,JM,1711414298
350,inhambane,-23.865,35.3833,23.52,83,54,4.86,MZ,1711414299
351,mao,39.8885,4.2658,14.31,100,75,4.63,ES,1711414179
352,afaahiti,-17.75,-149.2833,30.93,78,94,5.34,PF,1711414300
353,harnoli,32.2792,71.5539,21.94,34,98,0.92,PK,1711414035
354,valencia,39.3333,-0.8333,12.1,82,100,4.95,ES,1711414301
355,polyarnyy,69.1989,33.4478,-12.9,79,99,2.59,RU,1711414302
356,hailey,43.5196,-114.3153,5.92,37,40,0.45,US,1711414077
357,quibala,-10.7337,14.98,17.19,96,78,0.67,AO,1711414305
358,bereeda,11.8704,51.0579,26.14,83,3,3.36,SO,1711414305
359,ponta delgada,37.7333,-25.6667,14.4,67,20,5.66,PT,1711414306
360,port hedland,-20.3167,118.5667,29.03,42,5,5.66,AU,1711414307
